Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,SumCountOutput,AvgCountOutput,MaxCountOutput,CountPath,SumCountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,string_is_empty(const char *),Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,4,0,4,1,1,0,0,0,1,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,string_is_empty(const wchar_t *),Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,4,0,4,1,1,0,0,0,1,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,string_length(const char *),Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,4,0,4,1,1,0,0,0,2,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,string_length(const wchar_t *),Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,0,4,1,1,0,0,0,2,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,string_size(const char *),Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,4,0,4,1,1,0,0,0,2,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,string_size(const wchar_t *),Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,0,4,1,1,0,0,0,2,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,"string_starts_with(const TCHAR *,const TCHAR *,bool)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,0,5,1,2,0,0,0,4,,,,2,,0,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,,,,,0,,0,,,,
Function,string_to_uppercase(TCHAR *),Source\memory_and_file_io.cpp,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8,0,8,1,3,0,0,0,3,,,,2,,0,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,,,,,0,,0,,,,
Function,"strings_are_at_most_equal(const char *,const char *,size_t,bool)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,0,5,1,2,0,0,0,3,,,,2,,0,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,,,,,0,,0,,,,
Function,"strings_are_at_most_equal(const wchar_t *,const wchar_t *,size_t,bool)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,0,5,1,2,0,0,0,3,,,,2,,0,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,,,,,0,,0,,,,
Function,"strings_are_equal(const char *,const char *,bool)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,5,0,5,1,2,0,0,0,3,,,,2,,0,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,,,,,0,,0,,,,
Function,"strings_are_equal(const wchar_t *,const wchar_t *,bool)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,5,0,5,1,2,0,0,0,3,,,,2,,0,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,,,,,0,,0,,,,
Static Function,"stub_get_overlapped_result_ex(HANDLE,LPOVERLAPPED,LPDWORD,DWORD,BOOL)",Source\memory_and_file_io.cpp,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,6,0,6,2,3,0,0,0,4,,,,1,,0,3,3,1,0,2,2,2,2,1,0,,,,,0,,0,,,,,0,,0,,,,
Static Function,"stub_jet_attach_database_2_w(JET_SESID,JET_PCWSTR,const unsigned long,JET_GRBIT)",Source\internet_explorer.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,0,5,1,2,0,0,0,3,,,,1,,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Static Function,"stub_jet_begin_session_w(JET_INSTANCE,JET_SESID *,JET_PCWSTR,JET_PCWSTR)",Source\internet_explorer.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,0,5,1,2,0,0,0,3,,,,1,,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Static Function,"stub_jet_close_database(JET_SESID,JET_DBID,JET_GRBIT)",Source\internet_explorer.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,0,5,1,2,0,0,0,3,,,,1,,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
