Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,8617e69fb8307b372eeff41d55ec966dbeba36eb,File,mm.c,arch\x86\mm.c,5,34,3,861,4515,564,7,7,9,3,42,5,30,3,0,76,393,5,22,5909,491,2310,345,1578,431,2560,217,691,9,38,1033589130,1092,1601,294,12,1295,109,109,140,28,10,123,2,10,140322482,0,548,527,696,263
No,8617e69fb8307b372eeff41d55ec966dbeba36eb,File,mm.h,include\asm-x86\mm.h,1,8,1,103,346,208,2,2,2,1,10,1,8,1,0,7,20,1,3,637,101,208,155,32,208,10,136,52,4,7,22,134,145,123,0,22,2,2,3,1,1,8,1,1,5876,1,11,11,13,7
No,8617e69fb8307b372eeff41d55ec966dbeba36eb,File,page_alloc.c,common\page_alloc.c,6,30,5,401,1623,442,6,6,7,3,40,6,28,4,0,50,521,5,16,2458,379,1465,236,959,424,134,71,918,9,35,7914,789,1049,210,10,829,22,22,32,16,5,168,2,5,102276600,0,292,292,359,152
No,8617e69fb8307b372eeff41d55ec966dbeba36eb,File,xen.h,include\asm-x86\guest\xen.h,0,4,0,16,43,28,1,1,1,1,4,0,4,0,0,5,0,0,0,85,12,18,5,5,28,17,12,5,1,2,5,5,10,5,0,5,1,1,1,1,0,0,0,0,0,1,5,5,5,5
Yes,3cbecb3c6307a23d5a2227b8f48eb395131e998e,File,mm.c,x86\mm.c,5,34,3,861,4515,564,7,7,9,3,42,5,30,3,0,76,1128,5,21,5909,491,2310,345,1585,431,2560,217,2073,9,38,3100767390,1092,1601,294,12,1295,109,109,140,28,10,369,2,10,400555767,0,548,527,696,263
Yes,889b200cb521aaf8d175a872c856e8e570c1c044,File,page_alloc.c,common\page_alloc.c,6,30,5,401,1623,442,6,6,7,3,40,6,28,4,0,50,521,5,16,2458,379,1465,236,959,424,134,71,918,9,35,7914,789,1049,210,10,829,22,22,32,16,5,168,2,5,102276600,0,292,292,359,152
Yes,68ccebedb987f06fc9a78b1e3f33918119bd0abb,File,xen.h,guest\xen.h,0,4,0,16,43,28,1,1,1,1,4,0,4,0,0,5,0,0,0,85,12,18,5,5,28,17,12,5,1,2,5,5,10,5,0,5,1,1,1,1,0,0,0,0,0,1,5,5,5,5
Yes,f46b6197344fca91db7e1d7bd6df0c4a2703ed6f,File,mm.h,asm-x86\mm.h,1,8,1,101,342,208,2,2,2,1,10,1,8,1,0,7,20,1,3,631,99,204,152,32,208,10,136,52,4,7,22,131,142,120,0,22,2,2,3,1,1,8,1,1,5876,1,11,11,13,7
No,cc76410d20aff2cc07b268b0713dc1d2740c6e12,File,mm.c,x86\mm.c,5,34,3,862,4530,569,7,7,9,3,42,5,30,3,0,76,1128,5,21,5925,492,2325,348,1578,436,2560,217,2073,9,38,3100767390,1095,1610,303,12,1295,109,109,140,28,10,369,2,10,400555767,0,548,527,696,263
Yes,8617e69fb8307b372eeff41d55ec966dbeba36eb,File,mm.c,x86\mm.c,5,34,3,861,4515,564,7,7,9,3,42,5,30,3,0,76,1128,5,21,5909,491,2310,345,1578,431,2560,217,2073,9,38,3100767390,1092,1601,294,12,1295,109,109,140,28,10,369,2,10,400555767,0,548,527,696,263
No,1a7ffe466cd057daaef245b0a1ab6b82588e4c01,File,iommu_map.c,amd\iommu_map.c,6,31,2,137,629,80,3,3,4,2,39,6,31,2,0,20,339,6,16,845,137,622,109,436,80,0,7,447,7,28,352,332,395,94,0,301,11,11,13,11,4,56,1,4,40819662,0,66,66,80,51
Yes,1ecb1ee4d8475475c3ccf72f6654644b242ce856,File,iommu_map.c,amd\iommu_map.c,6,30,2,136,612,82,3,3,4,2,38,6,30,2,0,20,339,6,16,829,136,605,106,424,82,0,7,447,7,28,352,325,388,91,0,297,12,12,13,11,4,56,1,4,40819662,0,66,66,77,51
No,937ef32565fa3a81fdb37b9dd5aa99a1b87afa75,File,iommu.h,include\asm-x86\iommu.h,1,8,0,20,69,29,2,2,2,1,9,1,8,0,0,2,3,2,2,113,20,50,33,8,29,0,19,5,2,3,4,34,39,31,0,8,3,2,3,1,1,1,0,1,86,0,4,3,4,2
No,937ef32565fa3a81fdb37b9dd5aa99a1b87afa75,File,iommu_map.c,drivers\passthrough\amd\iommu_map.c,6,32,2,139,639,85,3,3,4,2,40,6,32,2,0,20,115,6,16,862,139,632,109,442,85,0,7,153,8,28,214,336,401,94,0,307,13,13,15,12,4,19,1,4,15147962,0,68,68,83,52
Yes,1a7ffe466cd057daaef245b0a1ab6b82588e4c01,File,iommu_map.c,amd\iommu_map.c,6,31,2,137,629,80,3,3,4,2,39,6,31,2,0,20,339,6,16,845,137,622,109,436,80,0,7,447,7,28,352,332,395,94,0,301,11,11,13,11,4,56,1,4,40819662,0,66,66,80,51
Yes,32a5ea00ec75ef53e1f5e095786a34f98fd2e22b,File,iommu.h,asm-x86\iommu.h,1,8,0,20,68,29,2,2,2,1,9,1,8,0,0,2,3,2,2,112,20,49,32,8,29,0,19,5,2,3,4,33,38,30,0,8,3,2,3,1,1,1,0,1,86,0,4,3,4,2
